6.84 5.78 5.91 2.34 1.28 
7.48 9.36 6.95 6.64 6.14 
3.53 9.40 7.28 4.81 0.07 
5.24 7.90 5.27 9.38 7.51 
0.96 8.66 2.44 6.40 9.68 
6.79 0.45 1.19 9.56 9.17 
6.29 3.58 5.15 3.13 4.16 
9.64 3.09 5.52 1.07 5.46 
1.36 8.58 7.69 1.53 5.30 
4.98 3.90 8.67 0.16 8.89 
9.22 5.51 0.28 9.72 6.47 
8.68 3.48 8.71 2.62 0.41 
5.92 6.65 8.53 7.26 4.69 
0.98 4.83 3.19 1.96 6.76 
4.30 2.91 7.50 6.16 8.86 
1.84 2.18 5.50 9.14 4.32 
4.15 9.11 1.36 4.33 2.43 
0.56 0.83 1.24 6.73 5.98 
4.05 5.99 7.21 3.87 4.10 
9.30 2.81 6.05 1.46 8.69 
9.12 8.58 8.60 8.30 8.48 
3.61 8.62 4.23 6.07 9.92 
6.48 7.83 0.36 3.34 7.66 
0.78 1.20 4.32 7.23 8.53 
2.56 7.38 3.31 2.26 3.55 
7.52 9.36 4.80 9.15 5.06 
0.19 1.70 9.00 8.31 5.66 
2.83 7.90 1.39 9.87 5.74 
7.23 4.55 6.49 7.94 8.81 
8.66 6.94 6.87 4.64 2.78 
9.26 0.47 0.80 0.87 3.41 
9.11 4.51 1.81 3.64 8.14 
9.06 8.64 3.22 8.63 7.74 
3.44 8.95 4.90 9.33 9.22 
9.76 9.33 3.56 4.62 7.48 
2.65 0.21 1.87 5.37 7.65 
0.16 1.88 2.90 9.48 5.95 
4.87 3.72 9.18 4.17 1.63 
4.61 5.39 4.44 8.24 8.57 
2.03 2.81 0.36 4.04 3.20 
9.90 2.75 7.81 5.59 1.10 
3.24 8.59 1.89 8.06 6.47 
5.59 8.58 4.82 1.53 5.73 
3.26 1.54 0.93 3.21 6.40 
9.68 0.44 6.70 7.21 1.26 
0.02 5.85 8.32 2.53 6.25 
1.07 4.89 7.53 0.96 2.34 
0.04 7.01 0.29 4.82 2.47 
4.19 5.92 4.08 3.71 6.09 
8.87 2.48 3.78 8.58 4.74 
2.10 5.95 7.27 7.81 6.75 
8.17 3.76 3.98 9.34 6.46 
0.65 8.60 8.08 6.14 5.11 
1.58 9.67 0.31 4.77 9.04 
8.40 3.45 4.31 9.01 7.13 
3.08 1.79 2.91 5.06 9.53 
3.92 1.79 5.38 5.81 2.75 
1.85 2.71 1.52 5.50 8.67 
9.76 7.14 6.20 7.84 7.18 
2.31 6.89 0.48 1.20 6.66 
0.22 3.78 6.14 0.56 5.87 
9.67 0.83 0.77 3.59 8.76 
1.28 5.88 5.18 0.44 3.65 
2.33 0.61 7.81 6.40 1.39 
6.25 2.30 7.75 9.49 6.86 
